,gseID,journal,pubmed_id,title
552,notAvailable,"Science (New York, N.Y.)",28983043,
553,GSE102443,Nature communications,28970527,
554,GSE99939_GSE90813_GSE90591_GSE90590,Nature methods,28967890,
555,notAvailable,Cell systems,28957659,
556,notAvailable,Cell systems,28957658,
557,notAvailable,Nature communications,28947742,
558,notAvailable,eLife,28944754,
559,GSE92522,Cell,28942923,
560,GSE90697_GSE87633,Cell,28942919,
561,notAvailable,Science translational medicine,28931656,
562,notAvailable,Nature communications,28928395,
563,notAvailable,Neuron,28910617,
564,GSE101334,Cell,28886383,
565,GSE99714_GSE92699,Cell,28886382,
566,notAvailable,Nature communications,28878212,
567,notAvailable,Nature communications,28878209,
568,notAvailable,Nature methods,28869755,
569,GSE95025,"Science (New York, N.Y.)",28860209,
570,notAvailable,Nature communications,28851858,
571,notAvailable,Nature methods,28825705,
572,GSE99951,Neuron,28817799,
573,notAvailable,Nature,28813413,
574,notAvailable,Nature communications,28808316,
575,GSE97179,"Science (New York, N.Y.)",28798132,
576,notAvailable,Nature communications,28794488,
577,notAvailable,Nature methods,28783155,
578,GSE100866,Nature methods,28759029,
579,notAvailable,Nature neuroscience,28758994,
580,GSE98201_GSE97882_GSE97881_GSE97880,Cell stem cell,28757360,
581,notAvailable,Cell systems,28750196,
582,GSE90683,Nature genetics,28740262,
583,GSE100771,Nature,28738408,
584,GSE83501_GSE83467,Nature cell biology,28737769,
585,notAvailable,Nature communications,28737170,
586,notAvailable,Nature communications,28729688,
587,notAvailable,Neuron,28728018,
588,notAvailable,Nature communications,28722025,
589,notAvailable,Nature medicine,28714990,
590,notAvailable,Cancer cell,28697342,
591,GSE99815_GSE99457,Cell stem cell,28686870,
592,notAvailable,Nature,28682345,
593,notAvailable,Nature,28682344,
594,GSE94489,Nature,28682332,
595,notAvailable,eLife,28678007,
596,GSE98636,Nature communications,28677679,
597,GSE85908,Molecular cell,28673540,
598,GSE100337_GSE100050_GSE98994,Cell,28666115,
599,notAvailable,Nature biomedical engineering,31372309,
600,GSE98794,Cell,28648659,
601,notAvailable,Cell systems,28647475,
602,notAvailable,"Science (New York, N.Y.)",28642382,
603,notAvailable,Neuron,28641116,
604,notAvailable,Science translational medicine,28637924,
605,notAvailable,Nature,28636592,
606,notAvailable,Nature communications,28630425,
607,notAvailable,Cell systems,28624615,
608,notAvailable,Cell systems,28624614,
609,GSE98638,Cell,28622514,
610,GSE97955,Nature communications,28621310,
611,GSE96981_GSE81252,Nature,28614297,
612,GSE97682_GSE97681_GSE97680_GSE97679,Nature,28607484,
613,GSE98971_GSE98970_GSE98969,Cell,28602351,
614,notAvailable,"Science (New York, N.Y.)",28596334,
615,notAvailable,Nature communications,28594001,
616,notAvailable,Cell stem cell,28575695,
617,notAvailable,Cell stem cell,28575694,
618,notAvailable,Nature communications,28569837,
619,notAvailable,Nature communications,28569836,
620,notAvailable,Nature,28569798,
621,notAvailable,Nature,28562590,
622,notAvailable,Nature methods,28557980,
623,notAvailable,Nature communications,28530239,
624,notAvailable,"Science (New York, N.Y.)",28522527,
625,notAvailable,Neuron,28521130,
626,GSE76312,Nature medicine,28504724,
627,notAvailable,eLife,28498105,
628,notAvailable,"Science (New York, N.Y.)",28495876,
629,GSE87814_GSE87807_GSE87763,Cell,28479188,
630,GSE97168,Cell,28475900,
631,notAvailable,Cell,28475899,
632,notAvailable,Molecular cell,28475866,
633,GSE75688,Nature communications,28474673,
634,GSE98052_GSE98011_GSE80171,"Science (New York, N.Y.)",28473638,
635,GSE86146,Cell stem cell,28457750,
636,notAvailable,"Science (New York, N.Y.)",28450636,
637,notAvailable,"Science (New York, N.Y.)",28450619,
638,notAvailable,Cell systems,28448797,
